scenario,modo,n_drops,drops,rationale,n_amostras,n_features,accuracy,accuracy_ic,sensitivity,sensitivity_ic,specificity,specificity_ic,f1,f1_ic,kappa,kappa_ic,auc,auc_ic
sem_tantrums,amostras_validas,1,Frequency Temper Tantrums,Redundante com Frequency Irritable Mood e ODD.,287,16,82.24137931034481,2.6920193447367677,27.0,17.61967286264876,92.21666666666667,2.8763197389495327,27.944444444444446,15.945374795652095,0.19108772759564213,0.15819956689197417,0.7268749999999999,0.11883763972365767
sem_tantrums,mesmas_linhas_baseline,1,Frequency Temper Tantrums,Redundante com Frequency Irritable Mood e ODD.,287,16,82.24137931034481,2.6920193447367677,27.0,17.61967286264876,92.21666666666667,2.8763197389495327,27.944444444444446,15.945374795652095,0.19108772759564213,0.15819956689197417,0.7268749999999999,0.11883763972365767
sem_irritable_mood,amostras_validas,1,Frequency Irritable Mood,Alternativa inversa do par irritabilidade/tantrums.,287,16,85.38177339901479,3.4309422394694975,39.5,12.555594954333642,93.85,3.1601552995380424,44.76984126984128,11.092780633675224,0.36850284204722106,0.12942121120144987,0.783625,0.08642274707951011
sem_irritable_mood,mesmas_linhas_baseline,1,Frequency Irritable Mood,Alternativa inversa do par irritabilidade/tantrums.,287,16,85.38177339901479,3.4309422394694975,39.5,12.555594954333642,93.85,3.1601552995380424,44.76984126984128,11.092780633675224,0.36850284204722106,0.12942121120144987,0.783625,0.08642274707951011
sem_social_phobia,amostras_validas,1,Social Phobia,Alternativa do par Social Phobia/Sensory Sensitivities.,288,16,85.06157635467979,4.374663881959395,39.5,17.314494375389728,93.43333333333332,3.1520231635962626,43.56349206349206,16.080822744499972,0.3548225798442452,0.18275278854236202,0.7327083333333333,0.10432243265866685
sem_social_phobia,mesmas_linhas_baseline,1,Social Phobia,Alternativa do par Social Phobia/Sensory Sensitivities.,287,16,84.69211822660098,3.4796101636503667,44.0,13.780810248058723,92.18333333333332,3.251302942839575,45.93795093795094,10.559414976803131,0.3742039042647415,0.12062861318363961,0.74125,0.11974926726708232
sem_sensory,amostras_validas,1,Number of Sensory Sensitivities,Redundancia moderada com Social Phobia; testar perda de sinal.,287,16,84.64285714285714,3.4442379869556112,38.0,17.211565783070107,92.98333333333332,2.4681381129876137,41.002164502164504,17.301927006039115,0.32635639646666875,0.18499272943269904,0.7532083333333334,0.10231533259415111
sem_sensory,mesmas_linhas_baseline,1,Number of Sensory Sensitivities,Redundancia moderada com Social Phobia; testar perda de sinal.,287,16,84.64285714285714,3.4442379869556112,38.0,17.211565783070107,92.98333333333332,2.4681381129876137,41.002164502164504,17.301927006039115,0.32635639646666875,0.18499272943269904,0.7532083333333334,0.10231533259415111
sem_sleep,amostras_validas,1,Number of Sleep Disturbances,VIF moderado; testar se multicolinearidade pesa mais que sinal clinico.,287,16,84.34729064039409,3.28176579586266,36.0,15.526888979686865,93.01666666666668,3.692569040861655,38.692640692640694,13.71433917361508,0.30761867996293424,0.13487039245874483,0.7479166666666667,0.10005973776021496
sem_sleep,mesmas_linhas_baseline,1,Number of Sleep Disturbances,VIF moderado; testar se multicolinearidade pesa mais que sinal clinico.,287,16,84.34729064039409,3.28176579586266,36.0,15.526888979686865,93.01666666666668,3.692569040861655,38.692640692640694,13.71433917361508,0.30761867996293424,0.13487039245874483,0.7479166666666667,0.10005973776021496
sem_age,amostras_validas,1,Age,Maior VIF; testar custo de remover feature importante.,287,16,80.8128078817734,4.6064087236569735,29.5,16.299571015184885,90.13333333333333,4.887722879685918,30.335497835497836,16.058339798823475,0.2003912437206367,0.17518319774267532,0.717125,0.09880261074201713
sem_age,mesmas_linhas_baseline,1,Age,Maior VIF; testar custo de remover feature importante.,287,16,80.8128078817734,4.6064087236569735,29.5,16.299571015184885,90.13333333333333,4.887722879685918,30.335497835497836,16.058339798823475,0.2003912437206367,0.17518319774267532,0.717125,0.09880261074201713
sem_4_mais_cd,amostras_validas,5,Poverty Status; Number of Siblings; Family History - Psychiatric Diagnosis; Number of Bio. Parents; CD,Primeira limpeza + remocao do par redundante CD/ODD.,306,12,83.67741935483872,4.045246376783546,39.5,17.47791937011174,91.53846153846152,3.847552064616382,40.02453102453103,15.403916073712283,0.3127048569629887,0.1660421542297392,0.7375,0.07995106493127918
sem_4_mais_cd,mesmas_linhas_baseline,5,Poverty Status; Number of Siblings; Family History - Psychiatric Diagnosis; Number of Bio. Parents; CD,Primeira limpeza + remocao do par redundante CD/ODD.,287,12,85.72660098522167,2.6826008542891246,41.5,14.312105013900027,93.83333333333334,2.850920848720084,45.43650793650794,10.230146557055546,0.3789893370544479,0.10864604333180147,0.7330833333333334,0.08302382079140434
sem_4_mais_tantrums,amostras_validas,5,Poverty Status; Number of Siblings; Family History - Psychiatric Diagnosis; Number of Bio. Parents; Frequency Temper Tantrums,Primeira limpeza + remocao de tantrums por redundancia com irritabilidade.,306,12,83.96774193548387,3.601388775184726,37.0,17.538811156130244,92.30769230769229,2.59401907278453,38.833333333333336,16.30602974426969,0.3022405275812812,0.17836228827751952,0.7330769230769232,0.09004366687664642
sem_4_mais_tantrums,mesmas_linhas_baseline,5,Poverty Status; Number of Siblings; Family History - Psychiatric Diagnosis; Number of Bio. Parents; Frequency Temper Tantrums,Primeira limpeza + remocao de tantrums por redundancia com irritabilidade.,287,12,82.54926108374384,3.3846327959512146,31.5,16.264649558859553,91.76666666666665,2.7287483310055816,33.63492063492064,16.066213657754645,0.2415582554544245,0.17217263633248212,0.7064166666666667,0.10576045834777091
sem_4_cd_tantrums,amostras_validas,6,Poverty Status; Number of Siblings; Family History - Psychiatric Diagnosis; Number of Bio. Parents; CD; Frequency Temper Tantrums,Limpeza intermediaria: baixa relevancia + dois blocos correlacionados.,306,11,83.64516129032259,3.988067827643403,37.0,17.538811156130244,91.92307692307692,3.2939956901651333,38.58080808080808,16.42275331682213,0.2978427073187821,0.1810731942672166,0.7209615384615385,0.09436011798110873
sem_4_cd_tantrums,mesmas_linhas_baseline,6,Poverty Status; Number of Siblings; Family History - Psychiatric Diagnosis; Number of Bio. Parents; CD; Frequency Temper Tantrums,Limpeza intermediaria: baixa relevancia + dois blocos correlacionados.,287,11,82.57389162561574,3.875261332957007,32.0,14.621618283570513,91.75,2.798500751258747,34.91269841269841,14.182493881517516,0.2527293937854305,0.15806286729157193,0.718375,0.08245175944184144
sem_4_cd_tantrums_sleep,amostras_validas,7,Poverty Status; Number of Siblings; Family History - Psychiatric Diagnosis; Number of Bio. Parents; CD; Frequency Temper Tantrums; Number of Sleep Disturbances,Limpeza mais agressiva incluindo feature com VIF moderado.,306,10,82.3225806451613,3.61882513632706,34.5,18.116883441669135,90.76923076923076,3.7140700918854908,34.857142857142854,15.900262269079903,0.2534239960652953,0.17343725287975376,0.7117307692307692,0.09086810767999352
sem_4_cd_tantrums_sleep,mesmas_linhas_baseline,7,Poverty Status; Number of Siblings; Family History - Psychiatric Diagnosis; Number of Bio. Parents; CD; Frequency Temper Tantrums; Number of Sleep Disturbances,Limpeza mais agressiva incluindo feature com VIF moderado.,287,10,81.90886699507388,4.857121100067218,32.0,11.946436532346645,90.95000000000002,4.538274177045339,35.77777777777778,13.57604571873036,0.25639151618163847,0.1615023644769567,0.7067916666666666,0.10430452819766116
sem_4_e_sensiveis,amostras_validas,6,Poverty Status; Number of Siblings; Family History - Psychiatric Diagnosis; Number of Bio. Parents; Race; Sex,Primeira limpeza + retirada de variaveis sensiveis remanescentes.,306,11,81.65591397849462,4.710123514302292,42.0,17.211565783070107,88.84615384615384,5.26048904397217,39.08080808080808,14.7298785084871,0.29301844967324325,0.15924294084490295,0.7263461538461539,0.07458382826977275
sem_4_e_sensiveis,mesmas_linhas_baseline,6,Poverty Status; Number of Siblings; Family History - Psychiatric Diagnosis; Number of Bio. Parents; Race; Sex,Primeira limpeza + retirada de variaveis sensiveis remanescentes.,287,11,83.2512315270936,3.3379263277141393,41.5,17.92758560430701,90.91666666666666,3.080585747495719,40.64502164502164,14.95319614716025,0.31451680943369886,0.15980329896442544,0.7161666666666667,0.10567068535369663
sem_10_agressivo,amostras_validas,10,Poverty Status; Number of Siblings; Family History - Psychiatric Diagnosis; Number of Bio. Parents; CD; Frequency Temper Tantrums; Number of Sleep Disturbances; Race; Sex; ADHD,Teste extremo para medir quanto sinal se perde com uma limpeza grande.,306,7,79.35483870967741,4.8362566095406665,35.0,17.35958961883609,87.3076923076923,6.090423130761036,32.51803751803752,13.912992654134582,0.2142219387322463,0.15681907755949645,0.7126923076923077,0.10628199800772689
sem_10_agressivo,mesmas_linhas_baseline,10,Poverty Status; Number of Siblings; Family History - Psychiatric Diagnosis; Number of Bio. Parents; CD; Frequency Temper Tantrums; Number of Sleep Disturbances; Race; Sex; ADHD,Teste extremo para medir quanto sinal se perde com uma limpeza grande.,287,7,79.10098522167488,6.029136245848188,27.5,13.827149737034143,88.41666666666667,6.716347715951268,27.81168831168831,11.554995831052397,0.16884291879840094,0.1287576262723034,0.6774166666666667,0.10613106914379394
