cenario,n_amostras,n_features,accuracy,accuracy_ic,sensitivity,sensitivity_ic,specificity,specificity_ic,f1,f1_ic,kappa,kappa_ic
baseline,287,17,83.62068965517241,3.8971742879566826,36.0,13.98558833677457,92.18333333333332,4.521328549790758,39.238095238095234,12.407710806672007,0.3041704023295585,0.13704984883769974
sem_4_mesmas_linhas,287,13,85.01231527093596,3.3420703279144997,39.0,11.898745976565834,93.4,3.734145792134823,43.66666666666667,9.294316669288968,0.35796236689267297,0.1048831034558827
sem_4_mais_amostras,306,13,84.30107526881719,3.480628505762484,37.0,17.538811156130244,92.6923076923077,3.0278992501954205,39.09018759018759,16.119903532278542,0.3085485729913303,0.17178358226091062
